AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:38:46 387,194.800,-25.609,229107576,194800827, 0.000,28.831,0,0.04027119, 0.000, 0.000,-46.639,21.024 

2020/02/13 16:38:47 349,194.800,-25.461,227841862,194800853, 0.000,29.011,0.05450206,0, 0.000, 0.000,-46.623,20.872 

2020/02/13 16:38:48 354,194.800,-25.642,246828636,194800834, 0.000,28.802,0.09155662,0.04340552, 0.000, 0.000,-46.639,20.991 

2020/02/13 16:38:49 339,194.800,-25.691,227841803,194800834, 0.000,28.744,0.08265737,0.04775749, 0.000, 0.000,-46.640,20.942 

2020/02/13 16:38:50 323,194.800,-25.718,227841832,194800840, 0.000,28.729,0.05456577,0.02271040, 0.000, 0.000,-46.608,21.028 

2020/02/13 16:38:51 308,194.800,-25.559,246828604,194800825, 0.000,28.885,0,0.03424259, 0.000, 0.000,-46.605,20.871 

2020/02/13 16:38:52 293,194.800,-25.733,230373348,194800814, 0.000,28.723,0.04207788,-0.00426720, 0.000, 0.000,-46.616,20.876 

2020/02/13 16:38:53 277,194.800,-25.663,229107665,194800859, 0.000,28.764,0.08081642,0.02522083, 0.000, 0.000,-46.641,20.972 

2020/02/13 16:38:54 250,194.800,-25.706,237968167,194800856, 0.000,28.718,0,0.06048495, 0.000, 0.000,-46.644,20.922 

2020/02/13 16:38:55 245,194.800,-25.693,241765484,194800836, 0.000,28.755,0.09470069,0.00695398, 0.000, 0.000,-46.633,20.934 

2020/02/13 16:38:56 229,194.800,-25.691,227841832,194800843, 0.000,28.738,0,0.04235677, 0.000, 0.000,-46.638,20.941 

2020/02/13 16:38:57 201,194.800,-25.464,229107665,194800861, 0.000,28.958,0.09987146,0.08215232, 0.000, 0.000,-46.634,20.895 

2020/02/13 16:38:58 200,194.800,-25.563,245562800,194800822, 0.000,28.847,0,0.07498082, 0.000, 0.000,-46.629,21.059 

2020/02/13 16:38:59 183,194.800,-25.624,225310227,194800830, 0.000,28.823,0,0.06257906, 0.000, 0.000,-46.607,20.977 

2020/02/13 16:39:00 167,194.800,-25.632,237968167,194800858, 0.000,28.820,0.06262015,-0.04992070, 0.000, 0.000,-46.631,20.993 

2020/02/13 16:39:01 154,194.800,-25.700,249360211,194800837, 0.000,28.730,0.08021995,0.02635945, 0.000, 0.000,-46.643,21.103 

2020/02/13 16:39:02 135,194.800,-25.473,230373378,194800832, 0.000,28.968,0.07279270,0.02876536, 0.000, 0.000,-46.629,21.150 

2020/02/13 16:39:03 121,194.800,-25.688,236702363,194800847, 0.000,28.753,0.09659593,0.08283571, 0.000, 0.000,-46.634,20.940 

2020/02/13 16:39:04 826,194.800,-25.519,245562832,194800830, 0.000,28.923,0.07598484,0.03662753, 0.000, 0.000,-46.645,20.941 

2020/02/13 16:39:05 902,194.800,-25.477,226576059,194800847, 0.000,28.966,0,-0.01471752, 0.000, 0.000,-46.624,21.142 

2020/02/13 16:39:06 739,194.800,-25.465,236702394,194800863, 0.000,29.019,0.04528027,-0.01666795, 0.000, 0.000,-46.631,21.160 

